artist,genres
Black Rebel Motorcycle Club,southern gothic
Black Rebel Motorcycle Club,garage rock
Black Rebel Motorcycle Club,blues rock
Busta Rhymes,east coast hip hop
Clipse,southern hip hop
Death From Above 1979,garage rock
Depeche Mode,new wave
Depeche Mode,synthpop
Depeche Mode,darkwave
Junior,No Genre
Ms. Lauryn Hill,neo soul
Missy Elliott,hip hop
No Doubt,No Genre
Pharrell Williams,No Genre
Public Enemy,old school hip hop
Public Enemy,east coast hip hop
Public Enemy,hip hop
Public Enemy,hardcore hip hop
Ratatat,No Genre
Red Hot Chili Peppers,funk rock
Red Hot Chili Peppers,alternative rock
Red Hot Chili Peppers,rock
Snoop Dogg,g-funk
Snoop Dogg,west coast hip hop
Snoop Dogg,gangster rap
Snoop Dogg,hip hop
Snoop Dogg,old school hip hop
Snoop Dogg,rap
Strafe,freestyle
The Black Keys,blues rock
The Black Keys,garage rock
The Black Keys,modern blues
The Black Keys,rock
The Rapture,new rave
The Rapture,indie dance
The Rapture,electroclash
The Rapture,alternative dance
The Strokes,garage rock
The Strokes,indie rock
The Strokes,alternative rock
Martin O'Donnell,soundtrack
Video Games Live,No Genre
Aaron Taos,No Genre
YG Rob,No Genre
Fetty Wap,No Genre
Coi Leray,No Genre
Ellie Goulding,No Genre
Lovely Peaches,No Genre
Zhavaughn Reed,No Genre
Barlito,No Genre
Ant Beale,No Genre
6ix9ine,No Genre
Lil Zechariah,cloud rap
A$AP Rocky,rap
Jinx Da Rebel,No Genre
RONNY J,argentine trap
YBN (Young Boss N*ggas),No Genre
Halsey,No Genre
Lud Foe,chicago drill
Oh Wonder,No Genre
Ed Sheeran,soft pop
Shotgun Willy,No Genre
Apollo Fresh,anime
Apollo Fresh,anime rap
Bklue Rollxn,No Genre
PRETTYMUCH,No Genre
2Pac,old school hip hop
2Pac,gangster rap
2Pac,west coast hip hop
2Pac,g-funk
2Pac,hip hop
No Jumper,No Genre
Roy Woods,trap soul
Lil Peep,emo rap
Lil Peep,cloud rap
Rico Cocchi,No Genre
C5,No Genre
LPB Poody,No Genre
Moneybagg Yo,No Genre
A$AP Mob,No Genre
Cavetown,bedroom pop
Kyler Fisher,No Genre
Matteu$$,No Genre
Jess Glynne,No Genre
Becky G,reggaeton
Becky G,latin
USHER,r&b
Owl City,No Genre
fun.,No Genre
Coldplay,No Genre
Sean Kingston,No Genre
Curly J,jersey club
AZ Chike,hyphy
One Direction,No Genre
Lil Richard,No Genre
Sheem Kluaf,No Genre
Lil Muk,No Genre
Shawn Mendes,No Genre
Billie Eilish,No Genre
Big Sean,No Genre
Austin Cap,No Genre
Tyla Yaweh,melodic rap
MIGHTY WARRIORS,j-rap
Jeremih,No Genre
Speaker Knockerz,No Genre
Stunt Taylor,chicago drill
YG,hyphy
Boslen,No Genre
StaySolidRocky,No Genre
MBNel,No Genre
Juice Music,No Genre
Jaden,No Genre
Bizzy Banks,brooklyn drill
Bizzy Banks,new york drill
Bizzy Banks,drill
Taylor Swift,No Genre
Lil Nas X,No Genre
Anderson .Paak,No Genre
Caramella Girls,nightcore
Caramella Girls,europop
DJ TikTok,funkot
DJ TikTok,koplo
Rizky Ayuba,budots
Rizky Ayuba,anime
Karen Aoki,anime
Geek Music,anime
Sliverk,anime
Miura Jam,anime
Yugo Kanno,anime
Yugo Kanno,soundtrack
batta,anime
batta,j-rock
KJ Balla,brooklyn drill
KJ Balla,new york drill
KJ Balla,drill
POORSTACY,emo rap
POORSTACY,melodic rap
Lil Boom,No Genre
Shayne Orok,anime
Shayne Orok,j-pop
Justin Rarri,melodic rap
Lil Eazzyy,chicago drill
ShooterGang Kony,hyphy
WhoHeem,No Genre
Kane Brown,country
Kane Brown,pop country
Home,vaporwave
Home,synthwave
Home,chillwave
Evade,No Genre
42 Dugg,No Genre
Ben10,No Genre
RL Grime,edm trap
RL Grime,future bass
RL Grime,edm
Cmack,No Genre
Aminé,No Genre
The Weeknd,No Genre
BROCKHAMPTON,No Genre
Miliano,No Genre
Swae Lee,No Genre
TheHxliday,No Genre
Jessie Reyez,No Genre
MASN,No Genre
Rob Curly,No Genre
Lil Gotit,No Genre
SAINt JHN,No Genre
Frank Ocean,No Genre
YK Osiris,No Genre
Jasiah,trap metal
gianni & kyle,No Genre
Styles P,east coast hip hop
Octavian,grime
Octavian,uk grime
Octavian,afroswing
Majid Jordan,No Genre
ILOVEMAKONNEN,No Genre
Action Bronson,east coast hip hop
Stokeswood,No Genre
Nico Vega,southern gothic
The Moth & The Flame,No Genre
Tor Miller,No Genre
Tigertown,No Genre
Grimes,art pop
Chairlift,No Genre
"Now, Now",No Genre
Lizzo,No Genre
Sam Sparro,No Genre
CRO,german hip hop
CRO,german indie
CRO,german pop
CRO,german indie pop
X Ambassadors,No Genre
Shakira,latin pop
Big Gigantic,No Genre
Mobb Deep,old school hip hop
Mobb Deep,east coast hip hop
Mobb Deep,hardcore hip hop
Mobb Deep,hip hop
Mobb Deep,gangster rap
Vintage Lee,No Genre
Sean Paul,dancehall
Joey Bada$$,hip hop
Joey Bada$$,rap
Pi’erre Bourne,melodic rap
BADBADNOTGOOD,No Genre
EARTHGANG,No Genre
T-Pain,No Genre
Calvin Harris,edm
Bravo,No Genre
Q,alternative r&b
Swoosh God,sexy drill
1K Phew,christian hip hop
1K Phew,gospel r&b
1K Phew,christian
1K Phew,rap chrétien
Evil Empire,No Genre
Iamsu!,hyphy
HONEST BOYZ(R),j-rap
Woody Jackson,No Genre
The Heavy,No Genre
Bill Elm & Woody Jackson,No Genre
Rex Allen,traditional country
Daniel Lanois,No Genre
Hans Zimmer,soundtrack
Augusto Martelli,No Genre
TOTO,yacht rock
TOTO,soft rock
THE DU,anime
Hiroaki Tommy Tominaga,anime
Friedrich Habetler,anime
$tupid Young,No Genre
Huncho Jack,No Genre
Eli Fross,brooklyn drill
Eli Fross,new york drill
Eli Fross,drill
BIA,No Genre
PelleK,anime
Leaf Lzz,No Genre
Stunna Gambino,No Genre
Robin Schulz,tropical house
Maroon 5,pop
Z-Flo,No Genre
MKTO,No Genre
Twenty One Pilots,No Genre
Justin Bieber,No Genre
Swedish House Mafia,edm
Flo Rida,No Genre
Armin van Buuren,trance
Armin van Buuren,progressive trance
Armin van Buuren,progressive house
Armin van Buuren,electronica
Armin van Buuren,edm
Mike Posner,No Genre
Selena Gomez,No Genre
The Neighbourhood,No Genre
Justin Timberlake,No Genre
Childish Gambino,No Genre
Ariana Grande,pop
Carly Rae Jepsen,No Genre
Taio Cruz,No Genre
Cody Simpson,No Genre
Nico & Vinz,No Genre
Katy Perry,pop
Macklemore & Ryan Lewis,No Genre
Avril Lavigne,No Genre
Travie McCoy,No Genre
Phillip Phillips,folk pop
Destiny's Child,No Genre
Rascal Flatts,country
Stunna Boy Get Em,No Genre
Yung Hachibi,No Genre
Pressa,No Genre
javeco,No Genre
Nightcore,nightcore
Kid Cudi,No Genre
David Guetta,edm
The Wanted,No Genre
Capital Cities,No Genre
Anna Kendrick,children's music
Backhouse Mike,No Genre
Plain White T's,No Genre
Randy Newman,No Genre
Far East Movement,No Genre
Foster The People,No Genre
Cobra Starship,No Genre
Neon Trees,No Genre
Hot Chelle Rae,No Genre
Rixton,No Genre
Jason Derulo,No Genre
Black Eyed Peas,No Genre
Lupe Fiasco,No Genre
MAGIC!,No Genre
Andy Grammer,No Genre
The All-American Rejects,pop punk
The All-American Rejects,emo
American Authors,No Genre
R. City,No Genre
Milky Chance,No Genre
John Legend,soft pop
John Legend,neo soul
P!nk,No Genre
Panic! At The Disco,emo
Big Time Rush,No Genre
Outasight,No Genre
M83,No Genre
Miley Cyrus,No Genre
Fall Out Boy,emo
Fall Out Boy,pop punk
Fitz and The Tantrums,No Genre
LMFAO,No Genre
TheFatRat,No Genre
Sara Bareilles,No Genre
AJR,No Genre
Cher Lloyd,No Genre
Of Monsters and Men,folk pop
Bridgit Mendler,No Genre
Jennifer Lopez,No Genre
Lady Gaga,art pop
Lady Gaga,pop
Brady,No Genre
Estelle,No Genre
Alicia Keys,r&b
Alicia Keys,neo soul
Meghan Trainor,No Genre
Austin Mahone,No Genre
TobyMac,christian
TobyMac,christian pop
TobyMac,ccm
TobyMac,christian rock
TobyMac,christian hip hop
TobyMac,cedm
TobyMac,worship
TobyMac,christian alternative rock
Sia,No Genre
Tiësto,edm
Tiësto,trance
Tiësto,big room
Tiësto,house
Passenger,folk pop
Hozier,No Genre
Robin Thicke,No Genre
Sam Smith,soft pop
Mark Ronson,No Genre
Zara Larsson,No Genre
Olly Alexander (Years & Years),No Genre
DJ Snake,No Genre
Hailee Steinfeld,No Genre
Jonas Blue,tropical house
ZAYN,No Genre
Rudimental,No Genre
The Band Perry,country
Diddy - Dirty Money,No Genre
Britney Spears,pop
Nelly,No Genre
Christina Perri,soft pop
New Boyz,No Genre
Selena Gomez & The Scene,No Genre
Gotye,No Genre
Kelly Clarkson,christmas
Jason Mraz,soft pop
Jason Mraz,acoustic pop
Alex Clare,No Genre
The Lumineers,folk pop
The Lumineers,indie folk
Jon Pardi,country
Jon Pardi,acoustic country
Nicki Minaj,No Genre
Baauer,edm trap
Florida Georgia Line,country
Florida Georgia Line,pop country
Florida Georgia Line,acoustic country
JAY-Z,hip hop
JAY-Z,east coast hip hop
JAY-Z,rap
will.i.am,No Genre
AWOLNATION,No Genre
Icona Pop,No Genre
Lana Del Rey,No Genre
Mumford & Sons,folk
Mumford & Sons,indie folk
Mumford & Sons,folk rock
Ylvis,No Genre
A Great Big World,No Genre
Idina Menzel,musicals
Disclosure,house
Charli xcx,hyperpop
Charli xcx,art pop
Paramore,pop punk
Paramore,emo
Aloe Blacc,No Genre
Echosmith,No Genre
Martin Garrix,edm
Martin Garrix,electronica
Martin Garrix,progressive house
Naughty Boy,No Genre
Rachel Platten,No Genre
Alessia Cara,No Genre
Portugal. The Man,No Genre
Lil Dicky,No Genre
Nightcore Dreams,nightcore
Daya,No Genre
Popp Hunna,No Genre
Chief Keef,chicago drill
Chief Keef,drill
Ant Saunders,No Genre
Ramz,afroswing
Ramz,grime
blackbear,No Genre
Fun Guns,No Genre
DUSTY LOCANE,brooklyn drill
DUSTY LOCANE,new york drill
DUSTY LOCANE,drill
Mac Miller,No Genre
Rich Gang,No Genre
BigKayBeezy,chicago drill
Jesse McCartney,No Genre
物語シリーズ,anime
物語シリーズ,j-pop
milet,anime
milet,j-pop
milet,j-rock
EDEN,No Genre
ヨルシカ,j-pop
ヨルシカ,j-rock
ヨルシカ,japanese indie
ヨルシカ,anime
EZRA,No Genre
Chipmusic Heroes,anime
HIRAGANA KAMIYADO,anime
Olivia Rodrigo,No Genre
Boney M.,disco
Billy Joel,soft rock
Kardinal Offishall,No Genre
TK from Ling tosite sigure,anime
TK from Ling tosite sigure,j-rock
TK from Ling tosite sigure,j-pop
Jonathan Parecki,anime
Jonathan Parecki,vocaloid
Masatoshi Ono,anime
NIGHTMARE,visual kei
NIGHTMARE,anime
NIGHTMARE,j-rock
Sawano Hiroyuki,anime
Sawano Hiroyuki,soundtrack
Linked Horizon,anime
Linked Horizon,j-pop
YOSHIKI,anime
YOSHIKI,j-rock
YOSHIKI,visual kei
DJ Drewski,brooklyn drill
DJ Drewski,new york drill
Funk Flex,east coast hip hop
Omarion,r&b
Jay Sean,No Genre
Skrillex,dubstep
Skrillex,edm
Skrillex,electro
Skrillex,electronic
Alexandra Stan,europop
Enrique Iglesias,latin pop
Enrique Iglesias,latin
Lost Frequencies,tropical house
Young Money,No Genre
Trey Songz,r&b
Cali Swag District,No Genre
Ludacris,southern hip hop
Timbaland,No Genre
Tinie Tempah,grime
Tim Berg,No Genre
Don Omar,reggaeton
Don Omar,urbano latino
3OH!3,No Genre
Kris Allen,No Genre
K'NAAN,No Genre
The Saturdays,No Genre
Scouting For Girls,No Genre
Two Door Cinema Club,indie
Two Door Cinema Club,indie rock
Sugarland,country
John Mayer,singer-songwriter
Edward Maya,No Genre
INNA,europop
Lil Spacely,aussie drill
Rick Astley,No Genre
Jawsh 685,No Genre
Alok,brazilian bass
Alok,electronic
Alok,slap house
Alok,electro house
Soulja Boy,No Genre
Tm88,No Genre
Juicy J,crunk
Jeremy Zucker,No Genre
Auli'i Cravalho,No Genre
KSI,No Genre
KAROL G,reggaeton
KAROL G,latin
KAROL G,urbano latino
Jessie J,No Genre
Little Mix,No Genre
Doja Cat,No Genre
Liam Payne,No Genre
TUYU,j-pop
TUYU,j-rock
TUYU,vocaloid
Of Mice & Men,metalcore
Of Mice & Men,post-hardcore
Of Mice & Men,screamo
Of Mice & Men,metal
Avenged Sevenfold,metal
Avenged Sevenfold,alternative metal
Slipknot,nu metal
Slipknot,metal
Slipknot,alternative metal
Slipknot,rap metal
Slipknot,heavy metal
Zach Hood,No Genre
Leonz,No Genre
NerdOut,No Genre
Rebecca Zamolo,No Genre
Logan Hugueny-Clark,No Genre
Sparrow Rayne,No Genre
The Living Tombstone,No Genre
ElyOtto,hyperpop
Ultradiox,No Genre
Lil Keed,melodic rap
CMTEN,hyperpop
100 gecs,hyperpop
100 gecs,glitch
Verzache,No Genre
ilyTOMMY,No Genre
Absofacto,No Genre
WILLOW,No Genre
hooligan chase,No Genre
Sueco,No Genre
TOKYO’S REVENGE,No Genre
Harry Styles,No Genre
Freddie Dredd,phonk
Damian Official,No Genre
Rex Orange County,bedroom pop
Savage Garden,No Genre
Spinabenz,No Genre
Lil Tjxy,No Genre
2 Late,new york drill
BØRNS,No Genre
BRS Kash,No Genre
CJ,dembow
Claire Rosinkranz,No Genre
