artist,genres
Dean Martin,adult standards
Dean Martin,big band
Dean Martin,swing music
Thurl Ravenscroft,christmas
Bing Crosby,christmas
HoodRich Pablo Juan,No Genre
Tritonal,edm
Tritonal,progressive house
Tritonal,progressive trance
Xavier Wulf,cloud rap
Xavier Wulf,underground hip hop
Xavier Wulf,emo rap
Bass Santana,No Genre
Bring Me The Horizon,metalcore
Bring Me The Horizon,emo
Bring Me The Horizon,screamo
Bring Me The Horizon,rock
Bring Me The Horizon,post-hardcore
I Prevail,metalcore
I Prevail,metal
GANK,No Genre
astra!,No Genre
23drew$ki,No Genre
Kunning Fox,No Genre
Braxton Burks,orchestral
Arcade Player,No Genre
Tristan D. Perez,No Genre
The Greatest Bits,No Genre
Typhillosion,anime
Pokémon,anime
Chippy Bits,lo-fi
HoopsandHipHop,lo-fi
Walk off the Earth,No Genre
Video Games Theme,No Genre
insaneintherainmusic,jazz
Darren Ang,No Genre
Pokérus Project,lo-fi
Collosia,lo-fi
Jonathan Aldrich,No Genre
A-bug,lo-fi
Aries,No Genre
Finn Askew,No Genre
VÉRITÉ,No Genre
The Alan Parsons Project,progressive rock
The Alan Parsons Project,classic rock
Scorpions,hard rock
Scorpions,glam metal
Scorpions,rock
The Shelters,No Genre
Eric B. & Rakim,old school hip hop
Eric B. & Rakim,east coast hip hop
Eric B. & Rakim,hip hop
Cousin Stizz,No Genre
Shy Luv,No Genre
Onyx,east coast hip hop
Onyx,hardcore hip hop
Onyx,old school hip hop
Linda Lind,No Genre
Salmo,italian trap
Take a Mic,french rap
Roosevelt,nu disco
ILLSON,k-rap
Carlos Jean,No Genre
EMoneyOne11,No Genre
